ID_Venda;ID_Cliente;ID_Cidade;ID_Produto;Data;Preco_Unitario;Quantidade;Receita_Total
303;241;2;13;02/02/2023;139;13;1807
304;60;3;11;07/05/2025;371;9;3339
305;925;9;10;30/04/2024;69;4;276
306;848;1;12;20/02/2022;139;3;417
307;714;4;12;01/10/2022;190;19;3610
308;700;6;13;05/08/2025;133;14;1862
309;672;5;12;06/09/2024;119;15;1785
310;134;6;1;24/08/2022;98;18;1764
311;413;1;12;26/07/2023;382;6;2292
312;514;4;14;26/10/2023;359;8;2872
313;829;2;6;17/04/2025;454;12;5448
314;606;6;5;28/03/2025;366;14;5124
315;396;5;17;06/03/2022;318;3;954
316;825;6;1;16/03/2025;85;3;255
317;833;2;19;23/01/2023;499;5;2495
318;58;3;15;30/04/2022;172;3;516
319;554;3;15;19/03/2025;88;20;1760
320;165;3;20;04/07/2022;494;1;494
321;191;8;9;17/03/2025;132;6;792
322;400;1;5;22/06/2022;267;13;3471
323;649;1;10;21/09/2024;341;16;5456
324;377;4;2;28/08/2023;222;9;1998
325;419;2;4;07/03/2022;351;7;2457
326;839;7;5;16/01/2022;494;15;7410
327;576;1;12;31/03/2022;425;7;2975
328;347;2;14;01/01/2024;465;19;8835
329;16;5;4;06/03/2024;348;12;4176
330;407;4;10;15/01/2024;421;7;2947
331;776;3;10;02/11/2022;343;18;6174
332;721;6;6;01/08/2023;274;16;4384
333;216;4;2;27/10/2023;496;19;9424
334;864;2;12;11/01/2024;77;9;693
335;411;5;6;23/08/2023;71;19;1349
336;621;9;19;23/01/2022;178;10;1780
337;334;6;9;27/08/2024;491;16;7856
338;911;9;8;05/07/2024;433;8;3464
339;786;5;14;07/04/2023;360;9;3240
340;585;4;15;26/03/2024;351;20;7020
341;635;8;15;05/06/2023;38;1;38
342;11;3;15;09/03/2024;383;19;7277
343;842;1;5;28/01/2025;348;1;348
344;970;4;19;12/04/2022;426;11;4686
345;471;2;5;04/09/2024;405;2;810
346;940;9;12;25/01/2023;150;5;750
347;349;4;10;17/06/2024;460;10;4600
348;216;5;11;18/04/2023;172;1;172
349;166;7;12;04/04/2022;304;17;5168
350;786;6;2;05/12/2022;430;8;3440
351;268;2;10;04/08/2022;487;10;4870
352;933;2;12;26/12/2024;27;1;27
353;221;7;6;19/10/2023;462;15;6930
354;593;2;11;15/02/2025;85;12;1020
355;905;3;16;30/01/2022;436;1;436
356;964;7;15;03/02/2024;365;6;2190
357;102;6;6;13/04/2022;240;11;2640
358;2;6;17;20/02/2025;243;5;1215
359;592;5;15;19/03/2024;68;16;1088
360;90;6;6;21/09/2022;99;2;198
361;266;6;7;21/09/2025;100;11;1100
362;592;4;8;19/11/2022;21;10;210
363;378;9;8;02/12/2023;238;17;4046
364;22;2;10;23/02/2025;419;17;7123
365;460;4;18;05/01/2024;57;9;513
366;405;4;3;08/07/2025;146;9;1314
367;132;9;17;21/04/2022;21;4;84
368;849;7;14;11/11/2022;155;13;2015
369;828;7;20;18/03/2023;80;19;1520
370;336;1;19;22/08/2023;103;1;103
371;925;7;19;05/06/2022;36;12;432
372;659;5;14;25/09/2025;182;5;910
373;110;8;4;07/11/2023;366;15;5490
374;26;7;12;24/08/2024;496;20;9920
375;983;8;3;24/09/2023;280;18;5040
376;149;9;15;06/07/2022;328;15;4920
377;74;9;15;07/07/2023;22;5;110
378;587;7;8;27/01/2023;180;9;1620
379;197;3;10;31/05/2022;466;12;5592
380;254;6;8;29/03/2022;321;10;3210
381;930;9;6;17/10/2024;410;3;1230
382;366;2;19;09/08/2022;323;10;3230
383;166;7;10;23/04/2025;380;7;2660
384;839;9;10;07/01/2022;36;17;612
385;666;6;6;28/12/2025;293;3;879
386;321;2;15;17/01/2024;455;1;455
387;251;1;17;16/04/2025;323;10;3230
388;15;6;3;12/07/2025;186;14;2604
389;944;5;12;02/06/2023;485;18;8730
390;926;5;12;19/01/2024;280;14;3920
391;362;3;8;27/05/2025;403;7;2821
392;133;3;12;11/12/2024;449;7;3143
393;554;6;8;02/04/2022;381;9;3429
394;820;6;20;19/07/2024;202;15;3030
395;858;4;7;27/09/2022;39;6;234
396;270;5;17;21/06/2024;473;12;5676
397;388;1;10;10/12/2024;257;7;1799
398;357;9;3;27/08/2025;336;11;3696
399;293;1;19;08/03/2024;325;19;6175
400;341;9;9;15/06/2024;343;14;4802
401;612;6;7;05/07/2024;440;8;3520
402;918;6;13;17/12/2023;351;5;1755
403;746;4;15;03/05/2025;436;12;5232
404;67;5;6;10/08/2024;492;7;3444
405;999;4;8;18/04/2024;240;19;4560
406;796;8;3;06/08/2022;250;14;3500
407;621;7;19;24/09/2023;290;12;3480
408;33;2;9;24/07/2023;313;3;939
409;3;6;3;06/06/2024;32;11;352
410;8;2;16;05/08/2023;101;5;505
411;228;2;19;11/07/2023;276;3;828
412;473;1;15;17/07/2024;490;7;3430
413;288;4;9;03/07/2022;446;18;8028
414;428;1;18;21/03/2024;296;3;888
415;681;5;3;22/04/2025;338;9;3042
416;635;3;5;13/01/2023;88;18;1584
417;169;6;2;25/07/2023;163;4;652
418;988;1;9;16/06/2023;309;5;1545
419;154;5;4;16/08/2024;83;3;249
420;262;1;7;30/01/2025;157;9;1413
421;570;9;8;23/06/2024;404;16;6464
422;589;5;12;12/12/2022;295;6;1770
423;485;7;11;07/03/2023;124;14;1736
424;404;1;17;16/07/2024;38;4;152
425;211;2;18;01/05/2022;197;16;3152
426;22;5;18;08/05/2025;205;20;4100
427;332;5;7;21/09/2022;363;4;1452
428;138;5;5;14/05/2025;31;2;62
429;312;7;10;06/05/2024;477;5;2385
430;489;6;2;02/07/2022;15;2;30
431;487;7;19;04/02/2022;388;5;1940
432;484;6;11;04/06/2022;40;6;240
433;624;4;11;10/11/2022;280;8;2240
434;51;5;17;23/07/2025;439;10;4390
435;845;8;15;26/07/2025;122;13;1586
436;436;8;19;20/10/2024;60;15;900
437;948;9;11;18/03/2022;90;2;180
438;500;2;17;03/07/2024;480;4;1920
439;551;6;11;27/05/2022;408;13;5304
440;589;6;11;04/04/2023;233;12;2796
441;984;7;9;13/05/2022;412;18;7416
442;407;1;4;25/10/2022;201;8;1608
443;690;8;9;19/04/2025;307;12;3684
444;982;9;14;01/12/2022;170;4;680
445;987;4;12;17/12/2023;233;14;3262
446;813;4;6;31/10/2022;130;19;2470
447;939;6;17;03/08/2023;196;2;392
448;539;6;15;15/12/2025;11;17;187
449;12;8;9;14/05/2023;44;7;308
450;799;7;16;13/06/2025;369;19;7011
451;981;7;3;08/03/2023;275;13;3575
452;349;9;15;26/07/2023;381;16;6096
453;861;7;11;09/02/2025;12;5;60
454;919;6;13;24/07/2022;18;3;54
455;242;5;12;28/03/2023;192;4;768
456;14;2;18;11/11/2023;116;9;1044
457;384;8;2;22/08/2024;224;4;896
458;269;8;11;18/10/2025;301;16;4816
459;933;3;12;06/04/2025;225;20;4500
460;195;8;8;26/09/2024;102;15;1530
461;202;3;3;20/02/2022;172;15;2580
462;74;9;8;15/07/2025;17;3;51
463;769;7;2;16/05/2024;491;2;982
464;520;7;7;22/10/2024;422;7;2954
465;83;8;6;02/02/2024;78;8;624
466;302;6;7;01/11/2022;80;20;1600
467;854;7;16;27/08/2025;390;1;390
468;705;2;20;10/12/2024;260;5;1300
469;744;1;2;08/02/2023;480;13;6240
470;297;8;6;05/01/2023;17;5;85
471;263;1;15;08/05/2023;438;19;8322
472;651;7;7;23/09/2022;444;15;6660
473;278;6;1;01/06/2024;386;16;6176
474;225;1;2;28/09/2023;90;8;720
475;911;1;9;25/01/2023;495;7;3465
476;784;8;16;29/12/2023;68;14;952
477;216;7;9;26/12/2024;388;18;6984
478;308;6;2;13/02/2025;377;12;4524
479;313;1;3;27/03/2025;116;13;1508
480;585;4;8;09/07/2025;408;12;4896
481;78;6;8;14/10/2022;300;5;1500
482;437;7;18;17/07/2023;73;12;876
483;610;2;10;16/01/2022;321;5;1605
484;752;3;13;21/06/2023;389;14;5446
485;483;3;1;23/09/2024;319;11;3509
486;447;2;20;08/01/2022;343;19;6517
487;11;7;4;16/09/2025;331;8;2648
488;303;2;16;07/07/2022;121;4;484
489;72;7;20;03/03/2024;174;1;174
490;382;3;18;29/11/2023;440;17;7480
491;523;7;20;28/11/2025;137;2;274
492;801;7;1;06/09/2022;126;12;1512
493;308;7;5;02/12/2023;450;14;6300
494;797;5;8;12/07/2025;195;12;2340
495;423;5;15;07/06/2022;163;17;2771
496;408;4;10;10/04/2023;313;2;626
497;398;3;17;14/06/2023;114;10;1140
498;480;2;8;12/01/2024;290;20;5800
499;581;5;6;31/07/2024;153;14;2142
500;618;4;2;27/04/2025;469;10;4690
501;211;1;16;06/03/2023;344;4;1376
502;697;5;2;12/06/2024;108;5;540
503;972;7;9;08/05/2024;271;5;1355
504;55;7;15;18/04/2025;463;17;7871
505;425;5;17;09/01/2024;424;16;6784
506;190;5;9;24/05/2024;277;13;3601
507;921;7;17;06/11/2023;196;20;3920
508;324;9;14;08/02/2025;124;13;1612
509;864;8;16;01/11/2024;213;7;1491
510;956;7;5;20/12/2025;156;3;468
511;502;7;14;16/08/2025;461;14;6454
512;936;1;17;30/06/2023;408;14;5712
513;640;3;1;18/02/2024;143;10;1430
514;948;4;3;09/06/2024;102;9;918
515;526;1;2;24/12/2022;103;2;206
516;600;6;17;18/02/2023;236;1;236
517;410;1;20;02/03/2022;350;9;3150
518;619;7;10;14/10/2025;216;6;1296
519;613;8;19;07/04/2022;87;13;1131
520;389;7;7;08/01/2024;364;8;2912
521;736;5;14;18/01/2025;406;19;7714
522;879;7;17;12/04/2023;215;4;860
523;222;7;2;03/03/2025;75;5;375
524;593;7;9;01/12/2022;353;18;6354
525;109;6;7;23/10/2024;240;13;3120
526;44;6;3;17/11/2024;51;9;459
527;980;8;18;12/03/2024;209;7;1463
528;942;8;8;18/08/2024;143;18;2574
529;152;9;7;11/12/2022;228;6;1368
530;14;8;11;15/09/2025;381;13;4953
531;199;6;2;17/02/2024;491;14;6874
532;635;9;10;03/02/2022;347;9;3123
533;150;3;8;19/04/2025;295;7;2065
534;382;4;5;26/06/2024;335;14;4690
535;236;9;8;07/12/2024;215;3;645
536;436;8;10;29/09/2023;216;18;3888
537;870;3;9;27/12/2023;95;1;95
538;886;9;5;16/05/2023;347;14;4858
539;754;9;19;14/11/2022;113;16;1808
540;628;5;14;12/10/2023;69;15;1035
541;747;7;9;15/12/2023;427;3;1281
542;584;3;19;26/12/2023;21;10;210
543;202;1;20;05/12/2022;88;15;1320
544;907;6;3;17/06/2022;141;1;141
545;642;7;14;07/08/2023;363;3;1089
546;595;5;16;13/10/2024;472;11;5192
547;149;6;13;05/10/2022;420;9;3780
548;884;6;19;06/06/2023;213;13;2769
549;141;2;11;26/07/2022;287;13;3731
550;767;3;6;03/06/2024;184;19;3496
551;279;1;7;08/05/2022;305;3;915
552;182;4;20;15/06/2024;366;8;2928
553;5;7;20;09/11/2023;278;16;4448
554;545;5;7;26/03/2024;411;3;1233
555;214;1;9;04/07/2025;268;16;4288
556;705;2;19;04/03/2024;289;13;3757
557;249;8;15;18/01/2022;280;5;1400
558;530;8;6;11/11/2024;418;17;7106
559;413;3;3;08/05/2024;431;16;6896
560;232;9;7;22/06/2025;354;7;2478
561;377;6;2;18/10/2025;472;5;2360
562;987;2;2;25/03/2024;92;2;184
563;446;5;9;21/05/2023;162;14;2268
564;680;3;13;13/11/2022;417;1;417
565;41;5;11;14/04/2022;346;20;6920
566;512;8;18;25/09/2022;407;1;407
567;983;1;6;15/05/2024;307;11;3377
568;399;5;3;02/01/2024;85;9;765
569;513;1;9;06/05/2022;289;6;1734
570;804;7;19;09/10/2022;387;6;2322
571;360;2;4;30/09/2024;312;3;936
572;347;6;2;10/01/2022;332;10;3320
573;259;4;14;12/06/2024;109;15;1635
574;185;8;2;02/03/2024;83;8;664
575;109;4;4;19/04/2022;185;3;555
576;608;6;1;06/09/2023;441;9;3969
577;313;4;20;07/07/2022;252;20;5040
578;298;2;4;02/06/2023;162;12;1944
579;146;9;7;03/01/2023;34;5;170
580;45;7;20;05/05/2025;94;16;1504
581;879;1;1;18/08/2022;399;9;3591
582;866;6;11;05/12/2025;457;12;5484
583;337;4;8;17/08/2023;263;14;3682
584;832;1;2;01/11/2025;224;8;1792
585;3;8;2;24/12/2025;360;10;3600
586;598;9;13;28/08/2023;320;19;6080
587;322;5;17;17/04/2023;98;4;392
588;95;8;6;22/02/2022;255;4;1020
589;194;7;6;11/08/2024;86;2;172
590;686;5;20;05/07/2025;493;4;1972
591;166;5;18;11/09/2024;317;8;2536
592;329;6;7;30/07/2023;112;20;2240
593;305;4;6;16/02/2022;336;12;4032
594;484;7;7;25/08/2024;324;15;4860
595;524;6;2;21/12/2022;106;9;954
596;672;2;14;02/04/2022;73;5;365
597;874;6;7;14/03/2024;384;5;1920
598;68;9;18;21/01/2023;340;8;2720
599;71;1;7;28/12/2023;13;19;247
600;21;9;8;30/06/2024;49;2;98
601;213;2;8;14/04/2025;68;7;476
602;483;8;5;28/10/2022;301;11;3311
603;826;3;18;01/08/2025;496;9;4464
604;240;4;13;06/03/2023;238;11;2618
605;493;7;20;11/11/2023;420;7;2940
606;122;9;14;22/11/2024;176;10;1760
607;715;3;4;17/10/2024;403;4;1612
608;771;3;10;27/01/2023;293;3;879
609;146;1;17;12/06/2024;305;10;3050
610;398;1;19;16/10/2023;428;6;2568
611;586;3;6;29/01/2023;119;9;1071
612;72;6;16;14/01/2023;431;13;5603
613;839;1;8;22/01/2024;407;2;814
614;595;8;17;20/06/2025;302;8;2416
615;90;6;17;18/10/2024;347;20;6940
616;270;5;9;31/01/2023;104;10;1040
617;608;7;17;18/01/2024;119;6;714
618;908;3;18;17/02/2025;150;7;1050
619;653;7;19;27/01/2022;239;18;4302
620;454;7;16;10/03/2023;335;13;4355
621;71;1;8;08/08/2024;329;1;329
622;143;2;2;22/10/2022;210;1;210
623;506;8;17;23/11/2023;396;3;1188
624;513;3;15;25/07/2023;152;4;608
625;132;5;4;04/08/2024;132;16;2112
626;635;4;20;23/06/2025;266;16;4256
627;587;5;17;25/10/2022;371;3;1113
628;386;3;12;12/11/2023;44;13;572
629;288;4;3;22/11/2023;492;7;3444
630;567;4;20;10/05/2025;343;17;5831
631;826;9;12;07/05/2022;245;11;2695
632;300;2;18;26/11/2025;346;20;6920
633;169;9;6;08/01/2025;458;17;7786
634;731;2;4;11/01/2024;249;14;3486
635;146;1;16;14/01/2023;124;12;1488
636;834;6;2;19/02/2023;197;8;1576
637;283;1;11;06/10/2022;316;18;5688
638;334;8;20;06/04/2024;215;5;1075
639;507;6;6;31/05/2022;82;18;1476
